lse_ticker,yahoo_ticker,confidence_score,mapping_method,created_at,last_validated,validation_status
LLOY,LLOY.L,0.8,simple_append,2025-06-23 12:47:48.316,2025-06-23 19:54:30.606639,auto_validated
OXH,OXH.L,0.8,simple_append,2025-06-23 12:50:13.606,,pending
CAN,CAN.L,0.8,simple_append,2025-06-23 12:50:14.702,,pending
PNN,PNN.L,0.8,simple_append,2025-06-23 12:50:15.15,,pending
SPT,SPT.L,0.8,simple_append,2025-06-23 12:50:16.093,,pending
IGG,IGG.L,0.8,simple_append,2025-06-23 12:50:17.183,,pending
GSCT,GSCT.L,0.8,simple_append,2025-06-23 12:50:18.282,,pending
ALW,ALW.L,0.8,simple_append,2025-06-23 12:50:19.508,,pending
WJG,WJG.L,0.8,simple_append,2025-06-23 12:50:20.779,,pending
LWDB,LWDB.L,0.8,simple_append,2025-06-23 12:50:21.771,,pending
RR,RR.L,0.8,simple_append,2025-06-23 12:50:23.001,,pending
PRU,PRU.L,0.8,simple_append,2025-06-23 12:50:23.971,,pending
WISE,WISE.L,0.8,simple_append,2025-06-23 12:50:25.063,,pending
JSON,JSON.L,0.8,simple_append,2025-06-23 12:50:26.037,,pending
JHD,JHD.L,0.8,simple_append,2025-06-23 12:50:26.822,,pending
TRI,TRI.L,0.8,simple_append,2025-06-23 12:50:27.958,,pending
TPK,TPK.L,0.8,simple_append,2025-06-23 12:50:29.062,,pending
CNA,CNA.L,0.8,simple_append,2025-06-23 12:50:30.039,2025-06-23 19:55:23.445538,auto_validated
CCEP,CCEP.L,0.8,simple_append,2025-06-23 12:50:31.107,,pending
PLUS,PLUS.L,0.8,simple_append,2025-06-23 12:50:32.086,,pending
OGN,OGN.L,0.8,simple_append,2025-06-23 12:50:33.086,,pending
MAB,MAB.L,0.8,simple_append,2025-06-23 13:09:37.331,,pending
TW,TW.L,0.8,simple_append,2025-06-23 19:35:30.639,,pending
OSB,OSB.L,0.8,simple_append,2025-06-23 19:35:32.312,,pending
BOOM,BOOM.L,0.8,simple_append,2025-06-23 19:35:32.402,,pending
CMCL,CMCL.L,0.8,simple_append,2025-06-23 19:35:32.447,,pending
UTL,UTL.L,0.8,simple_append,2025-06-23 19:35:32.493,,pending
GRI,GRI.L,0.8,simple_append,2025-06-23 19:35:32.538,,pending
SAFE,SAFE.L,0.8,simple_append,2025-06-23 19:35:32.585,,pending
SXS,SXS.L,0.8,simple_append,2025-06-23 19:35:32.63,,pending
TRN,TRN.L,0.8,simple_append,2025-06-23 19:35:32.721,,pending
WTB,WTB.L,0.8,simple_append,2025-06-23 19:35:32.768,,pending
BLND,BLND.L,0.8,simple_append,2025-06-23 19:35:32.815,,pending
DIG,DIG.L,0.8,simple_append,2025-06-23 19:35:32.862,,pending
BPCR,BPCR.L,0.8,simple_append,2025-06-23 19:35:34.131,,pending
BATS,BATS.L,0.8,simple_append,2025-06-23 19:35:34.176,,pending
AML,AML.L,0.8,simple_append,2025-06-23 19:35:34.222,,pending
OTB,OTB.L,0.8,simple_append,2025-06-23 19:35:34.268,,pending
WKP,WKP.L,0.8,simple_append,2025-06-23 19:35:35.362,,pending
QQ,QQ.L,0.8,simple_append,2025-06-23 19:35:35.408,,pending
PFD,PFD.L,0.8,simple_append,2025-06-23 19:35:36.56,,pending
POLR,POLR.L,0.8,simple_append,2025-06-23 19:35:36.606,,pending
SNR,SNR.L,0.8,simple_append,2025-06-23 19:35:36.65,,pending
CPX,CPX.L,0.8,simple_append,2025-06-23 19:35:36.697,,pending
BRH,BRH.L,0.8,simple_append,2025-06-23 19:35:36.742,,pending
NCC,NCC.L,0.8,simple_append,2025-06-23 19:35:36.799,,pending
DGE,DGE.L,0.8,simple_append,2025-06-23 19:35:36.887,,pending
KZG,KZG.L,0.8,simple_append,2025-06-23 19:35:36.971,,pending
TON,TON.L,0.8,simple_append,2025-06-23 19:35:37.013,,pending
ENOG,ENOG.L,0.8,simple_append,2025-06-23 19:35:37.056,,pending
SVT,SVT.L,0.8,simple_append,2025-06-23 19:35:37.142,,pending
KAV,KAV.L,0.8,simple_append,2025-06-23 19:35:37.184,,pending
GRG,GRG.L,0.8,simple_append,2025-06-23 19:35:38.261,,pending
BYIT,BYIT.L,0.8,simple_append,2025-06-23 19:35:39.583,,pending
ASAI,ASAI.L,0.8,simple_append,2025-06-23 19:35:39.626,,pending
CRL,CRL.L,0.8,simple_append,2025-06-23 19:35:40.659,,pending
DCTA,DCTA.L,0.8,simple_append,2025-06-23 19:35:40.703,,pending
LMP,LMP.L,0.8,simple_append,2025-06-23 19:35:41.743,,pending
SEE,SEE.L,0.8,simple_append,2025-06-23 19:35:41.786,,pending
OIG,OIG.L,0.8,simple_append,2025-06-23 19:35:41.828,,pending
CRPR,CRPR.L,0.8,simple_append,2025-06-23 19:35:41.871,,pending
MPE,MPE.L,0.8,simple_append,2025-06-23 19:35:41.914,,pending
BAG,BAG.L,0.8,simple_append,2025-06-23 19:35:42.002,,pending
RIO,RIO.L,0.8,simple_append,2025-06-23 19:35:42.045,,pending
PSON,PSON.L,0.8,simple_append,2025-06-23 19:35:42.087,,pending
IMI,IMI.L,0.8,simple_append,2025-06-23 19:35:42.13,,pending
HFG,HFG.L,0.8,simple_append,2025-06-23 19:35:42.174,,pending
TKO,TKO.L,0.8,simple_append,2025-06-23 19:35:42.216,,pending
MSLH,MSLH.L,0.8,simple_append,2025-06-23 19:35:42.258,,pending
JDW,JDW.L,0.8,simple_append,2025-06-23 19:35:42.3,,pending
IPC,IPC.L,0.8,simple_append,2025-06-23 19:35:42.344,,pending
SBRE,SBRE.L,0.8,simple_append,2025-06-23 19:35:42.388,,pending
CLIG,CLIG.L,0.8,simple_append,2025-06-23 19:35:43.47,,pending
JUST,JUST.L,0.8,simple_append,2025-06-23 19:35:44.637,,pending
RKT,RKT.L,0.8,simple_append,2025-06-23 19:35:44.72,,pending
BIRG,BIRG.L,0.8,simple_append,2025-06-23 19:35:44.762,,pending
TEAM,TEAM.L,0.8,simple_append,2025-06-23 19:35:44.802,2025-06-23 20:37:57.701173,auto_validated
WINE,WINE.L,0.8,simple_append,2025-06-23 19:35:45.802,,pending
KOS,KOS.L,0.8,simple_append,2025-06-23 19:35:45.846,,pending
SSIT,SSIT.L,0.8,simple_append,2025-06-23 19:35:45.888,,pending
NG,NG.L,0.8,simple_append,2025-06-23 19:35:45.93,,pending
SCT,SCT.L,0.8,simple_append,2025-06-23 19:35:47.04,,pending
MRK,MRK.L,0.8,simple_append,2025-06-23 19:35:47.085,2025-06-23 21:20:39.895135,auto_validated
PAY,PAY.L,0.8,simple_append,2025-06-23 19:35:47.208,,pending
VANQ,VANQ.L,0.8,simple_append,2025-06-23 19:35:48.361,,pending
CNS,CNS.L,0.8,simple_append,2025-06-23 19:35:50.299,,pending
MAFL,MAFL.L,0.8,simple_append,2025-06-23 19:35:50.342,,pending
NET,NET.L,0.8,simple_append,2025-06-23 19:35:50.384,,pending
ONDO,ONDO.L,0.8,simple_append,2025-06-23 19:35:50.425,2025-06-23 21:21:00.855014,auto_validated
MSI,MSI.L,0.8,simple_append,2025-06-23 19:35:50.466,,pending
CAU,CAU.L,0.8,simple_append,2025-06-23 19:35:50.508,,pending
OIT,OIT.L,0.8,simple_append,2025-06-23 19:35:50.551,,pending
CRN,CRN.L,0.8,simple_append,2025-06-23 19:35:51.563,,pending
RKW,RKW.L,0.8,simple_append,2025-06-23 19:35:51.606,,pending
VID,VID.L,0.8,simple_append,2025-06-23 19:35:52.752,,pending
JMAT,JMAT.L,0.8,simple_append,2025-06-23 19:35:53.928,,pending
DNLM,DNLM.L,0.8,simple_append,2025-06-23 19:35:54.013,,pending
KIE,KIE.L,0.8,simple_append,2025-06-23 19:35:55.117,,pending
DPLM,DPLM.L,0.8,simple_append,2025-06-23 19:35:55.161,,pending
SIHL,SIHL.L,0.8,simple_append,2025-06-23 19:35:55.204,,pending
SDR,SDR.L,0.8,simple_append,2025-06-23 19:35:56.266,,pending
BGO,BGO.L,0.8,simple_append,2025-06-23 19:35:57.545,,pending
AJOT,AJOT.L,0.8,simple_append,2025-06-23 19:35:57.59,,pending
GLE,GLE.L,0.8,simple_append,2025-06-23 19:35:58.714,,pending
BOWL,BOWL.L,0.8,simple_append,2025-06-23 19:35:59.929,,pending
PTEC,PTEC.L,0.8,simple_append,2025-06-23 19:35:59.974,,pending
HBR,HBR.L,0.8,simple_append,2025-06-23 19:36:00.017,,pending
FDM,FDM.L,0.8,simple_append,2025-06-23 19:36:00.059,,pending
OCDO,OCDO.L,0.8,simple_append,2025-06-23 19:36:00.101,,pending
UPR,UPR.L,0.8,simple_append,2025-06-23 19:36:01.133,,pending
SSE,SSE.L,0.8,simple_append,2025-06-23 19:36:01.177,,pending
IHP,IHP.L,0.8,simple_append,2025-06-23 19:36:02.364,,pending
PRIM,PRIM.L,0.8,simple_append,2025-06-23 19:36:02.409,,pending
BAB,BAB.L,0.8,simple_append,2025-06-23 19:36:02.457,,pending
FRP,FRP.L,0.8,simple_append,2025-06-23 19:36:02.5,2025-06-23 21:20:50.390272,auto_validated
MTO,MTO.L,0.8,simple_append,2025-06-23 19:36:02.546,,pending
IBST,IBST.L,0.8,simple_append,2025-06-23 19:36:02.589,,pending
SRE,SRE.L,0.8,simple_append,2025-06-23 19:36:02.632,,pending
BNZL,BNZL.L,0.8,simple_append,2025-06-23 19:36:02.68,,pending
SGRO,SGRO.L,0.8,simple_append,2025-06-23 19:36:02.765,,pending
CVSG,CVSG.L,0.8,simple_append,2025-06-23 19:36:02.808,,pending
LIFS,LIFS.L,0.8,simple_append,2025-06-23 19:36:03.979,,pending
AGR,AGR.L,0.8,simple_append,2025-06-23 19:36:04.023,,pending
AAIF,AAIF.L,0.8,simple_append,2025-06-23 19:36:05.122,,pending
GAMA,GAMA.L,0.8,simple_append,2025-06-23 19:36:05.165,,pending
CGEO,CGEO.L,0.8,simple_append,2025-06-23 19:36:05.208,,pending
CCH,CCH.L,0.8,simple_append,2025-06-23 19:36:05.251,,pending
PHNX,PHNX.L,0.8,simple_append,2025-06-23 19:36:05.293,,pending
RAT,RAT.L,0.8,simple_append,2025-06-23 19:36:06.352,,pending
GTE,GTE.L,0.8,simple_append,2025-06-23 19:36:07.537,2025-06-23 20:48:41.989228,auto_validated
ROSE,ROSE.L,0.8,simple_append,2025-06-23 19:36:08.575,,pending
SSPG,SSPG.L,0.8,simple_append,2025-06-23 19:36:09.228,,pending
WINV,WINV.L,0.8,simple_append,2025-06-23 19:36:09.271,,pending
GYM,GYM.L,0.8,simple_append,2025-06-23 19:36:09.313,,pending
FTV,FTV.L,0.8,simple_append,2025-06-23 19:36:09.355,,pending
PZC,PZC.L,0.8,simple_append,2025-06-23 19:36:10.52,,pending
STAF,STAF.L,0.8,simple_append,2025-06-23 19:36:10.61,,pending
HWDN,HWDN.L,0.8,simple_append,2025-06-23 19:36:10.652,,pending
HIK,HIK.L,0.8,simple_append,2025-06-23 19:36:10.696,,pending
JDG,JDG.L,0.8,simple_append,2025-06-23 19:36:10.748,,pending
BYG,BYG.L,0.8,simple_append,2025-06-23 19:36:10.791,,pending
CLI,CLI.L,0.8,simple_append,2025-06-23 19:36:10.836,,pending
MILA,MILA.L,0.8,simple_append,2025-06-23 19:36:10.878,,pending
FCIT,FCIT.L,0.8,simple_append,2025-06-23 19:36:10.92,,pending
CVCE,CVCE.L,0.8,simple_append,2025-06-23 19:36:10.962,,pending
TSCO,TSCO.L,0.8,simple_append,2025-06-23 19:36:11.004,,pending
SUPR,SUPR.L,0.8,simple_append,2025-06-23 19:36:11.046,,pending
PEB,PEB.L,0.8,simple_append,2025-06-23 19:36:11.089,,pending
TRT,TRT.L,0.8,simple_append,2025-06-23 19:51:28.07,2025-06-23 20:38:12.308906,auto_validated
HSBA,HSBA.L,0.8,simple_append,2025-06-23 19:51:29.507,,pending
LIO,LIO.L,0.8,simple_append,2025-06-23 19:51:31.165,,pending
PCFT,PCFT.L,0.8,simple_append,2025-06-23 19:51:32.403,,pending
INDV,INDV.L,0.8,simple_append,2025-06-23 19:51:33.781,,pending
RNK,RNK.L,0.8,simple_append,2025-06-23 19:51:35.173,,pending
HMSO,HMSO.L,0.8,simple_append,2025-06-23 19:51:36.349,,pending
DLN,DLN.L,0.8,simple_append,2025-06-23 19:51:40.084,,pending
STS,STS.L,0.8,simple_append,2025-06-23 19:51:42.311,,pending
EDEN,EDEN.L,0.8,simple_append,2025-06-23 19:51:43.595,,pending
GPE,GPE.L,0.8,simple_append,2025-06-23 19:51:46.386,2025-06-23 20:41:38.404977,auto_validated
NCYF,NCYF.L,0.8,simple_append,2025-06-23 19:51:48.336,,pending
IHG,IHG.L,0.8,simple_append,2025-06-23 22:13:45.33,,pending
MACF,MACF.L,0.8,simple_append,2025-06-23 22:13:47.855,,pending
III,III.L,0.8,simple_append,2025-06-23 22:13:49.59,,pending
SHRS,SHRS.L,0.8,simple_append,2025-06-23 22:13:51.456,,pending
WIL,WIL.L,0.8,simple_append,2025-06-23 22:13:53.197,,pending
WEIR,WEIR.L,0.8,simple_append,2025-06-23 22:13:55.06,,pending
DSCV,DSCV.L,0.8,simple_append,2025-06-23 22:13:56.259,,pending
ITM,ITM.L,0.8,simple_append,2025-06-23 22:13:59.591,,pending
IPX,IPX.L,0.8,simple_append,2025-06-23 22:14:00.963,,pending
TIME,TIME.L,0.8,simple_append,2025-06-23 22:14:02.218,,pending
CMO,CMO.L,0.8,simple_append,2025-06-23 22:14:03.506,,pending
STAN,STAN.L,0.8,simple_append,2025-06-23 22:14:04.94,,pending
CRST,CRST.L,0.8,simple_append,2025-06-23 22:14:06.515,,pending
