spike_timestamp,lse_ticker,yahoo_ticker,spike_multiple_21d,spike_multiple_63d,volume_on_spike_date,avg_volume_21d,avg_volume_63d,buys_12m_before,sells_12m_before,buy_sell_ratio,net_value_12m_before,created_at,setup_id
2024-07-30 00:00:00,DGE,DGE.L,2.78,2.69,9276148,3333278,3447653,115,0,1.0,0.0,2025-06-23 23:40:17.525,DGE_2024-07-30
2024-09-12 00:00:00,DGE,DGE.L,2.38,1.94,6479218,2722946,3344647,111,4,0.9652174,0.0,2025-06-23 23:40:17.575,DGE_2024-09-12
2024-09-20 00:00:00,DGE,DGE.L,2.36,2.34,7793076,3307721,3328096,111,4,0.9652174,0.0,2025-06-23 23:40:17.624,DGE_2024-09-20
2024-12-05 00:00:00,DGE,DGE.L,2.35,2.23,8539820,3640393,3824414,101,4,0.96190476,0.0,2025-06-23 23:40:17.672,DGE_2024-12-05
2025-02-28 00:00:00,DGE,DGE.L,2.14,2.19,8391211,3923225,3825171,100,4,0.96153843,0.0,2025-06-23 23:40:17.72,DGE_2025-02-28
2024-09-24 00:00:00,DGE,DGE.L,2.11,2.15,7378143,3492462,3428358,111,4,0.9652174,0.0,2025-06-23 23:40:17.769,DGE_2024-09-24
2025-01-09 00:00:00,MSLH,MSLH.L,6.77,5.4,3459826,511006,640525,12,2,0.85714287,0.0,2025-06-23 23:40:18,MSLH_2025-01-09
2024-11-06 00:00:00,MSLH,MSLH.L,4.29,5.58,2681093,625471,480163,7,2,0.7777778,0.0,2025-06-23 23:40:18.048,MSLH_2024-11-06
2024-07-03 00:00:00,MSLH,MSLH.L,4.0,2.94,1641432,410484,557555,12,2,0.85714287,0.0,2025-06-23 23:40:18.098,MSLH_2024-07-03
2025-01-15 00:00:00,MSLH,MSLH.L,3.67,3.67,2721490,742209,742094,15,2,0.88235295,0.0,2025-06-23 23:40:18.241,MSLH_2025-01-15
2024-10-16 00:00:00,MSLH,MSLH.L,3.6,3.27,1389176,386240,424664,10,2,0.8333333,0.0,2025-06-23 23:40:18.289,MSLH_2024-10-16
2024-10-31 00:00:00,MSLH,MSLH.L,3.58,4.16,1912167,534392,459477,7,2,0.7777778,0.0,2025-06-23 23:40:18.338,MSLH_2024-10-31
2025-01-21 00:00:00,MSLH,MSLH.L,3.56,4.47,3590172,1007513,804064,15,2,0.88235295,0.0,2025-06-23 23:40:18.395,MSLH_2025-01-21
2025-01-16 00:00:00,MSLH,MSLH.L,3.53,3.94,3052425,863905,775238,15,2,0.88235295,0.0,2025-06-23 23:40:18.445,MSLH_2025-01-16
2025-01-15 00:00:00,HWDN,HWDN.L,7.18,5.69,6487263,903555,1139877,22,1,0.95652175,0.0,2025-06-23 23:40:19.446,HWDN_2025-01-15
2024-07-09 00:00:00,HWDN,HWDN.L,5.69,5.14,7747254,1361160,1508566,16,1,0.9411765,0.0,2025-06-23 23:40:19.49,HWDN_2024-07-09
2024-08-12 00:00:00,HWDN,HWDN.L,4.18,3.69,5525733,1323335,1497578,16,1,0.9411765,0.0,2025-06-23 23:40:19.537,HWDN_2024-08-12
2025-04-07 00:00:00,HWDN,HWDN.L,3.8,3.11,5667590,1489662,1819717,27,1,0.96428573,0.0,2025-06-23 23:40:19.58,HWDN_2025-04-07
2024-07-23 00:00:00,HWDN,HWDN.L,3.59,3.13,4828810,1345641,1542348,15,1,0.9375,0.0,2025-06-23 23:40:19.625,HWDN_2024-07-23
2025-03-05 00:00:00,HWDN,HWDN.L,3.52,4.56,6691177,1900068,1467733,25,1,0.96153843,0.0,2025-06-23 23:40:19.67,HWDN_2025-03-05
2024-08-16 00:00:00,HWDN,HWDN.L,3.37,3.22,5057565,1502918,1570939,16,1,0.9411765,0.0,2025-06-23 23:40:19.713,HWDN_2024-08-16
2025-02-27 00:00:00,HWDN,HWDN.L,3.27,4.41,5763386,1764153,1305861,24,1,0.96,0.0,2025-06-23 23:40:19.759,HWDN_2025-02-27
2025-01-06 00:00:00,WTB,WTB.L,6.79,6.21,4840740,712689,779044,2,0,1.0,0.0,2025-06-24 03:05:04.848,WTB_2025-01-06
2024-07-09 00:00:00,WTB,WTB.L,4.19,3.83,4044249,966200,1055083,3,0,1.0,0.0,2025-06-24 03:05:04.9,WTB_2024-07-09
2024-11-12 00:00:00,WTB,WTB.L,3.02,3.71,2680582,887905,721687,2,0,1.0,0.0,2025-06-24 03:05:04.952,WTB_2024-11-12
2025-04-23 00:00:00,WTB,WTB.L,2.92,2.67,2011465,688976,752175,2,0,1.0,0.0,2025-06-24 03:05:05.001,WTB_2025-04-23
2025-04-24 00:00:00,WTB,WTB.L,2.86,2.56,1967567,687238,769529,2,0,1.0,0.0,2025-06-24 03:05:05.057,WTB_2025-04-24
2024-08-08 00:00:00,WTB,WTB.L,2.84,2.56,2720689,957125,1064185,3,0,1.0,0.0,2025-06-24 03:05:05.107,WTB_2024-08-08
2024-12-20 00:00:00,WTB,WTB.L,2.8,2.86,2237562,799902,781620,2,0,1.0,0.0,2025-06-24 03:05:05.158,WTB_2024-12-20
2024-12-17 00:00:00,WTB,WTB.L,2.77,2.57,1992875,720091,776267,2,0,1.0,0.0,2025-06-24 03:05:05.209,WTB_2024-12-17
2024-12-13 00:00:00,KZG,KZG.L,30.46,11.78,48494581,1591886,4118407,5,0,1.0,0.0,2025-06-24 03:05:05.745,KZG_2024-12-13
2024-10-16 00:00:00,KZG,KZG.L,29.58,6.36,53774130,1817909,8457640,5,0,1.0,0.0,2025-06-24 03:05:05.795,KZG_2024-10-16
2024-11-08 00:00:00,KZG,KZG.L,22.81,10.37,95040833,4166511,9165098,5,0,1.0,0.0,2025-06-24 03:05:05.845,KZG_2024-11-08
2025-05-16 00:00:00,KZG,KZG.L,14.21,15.01,64242177,4519675,4279969,5,0,1.0,0.0,2025-06-24 03:05:05.894,KZG_2025-05-16
2025-05-07 00:00:00,KZG,KZG.L,14.19,11.63,42686797,3007671,3670486,5,0,1.0,0.0,2025-06-24 03:05:05.946,KZG_2025-05-07
2025-04-01 00:00:00,KZG,KZG.L,11.78,11.12,38098695,3234911,3424935,5,0,1.0,0.0,2025-06-24 03:05:05.994,KZG_2025-04-01
2024-12-16 00:00:00,KZG,KZG.L,5.45,4.28,20942146,3839642,4888027,5,0,1.0,0.0,2025-06-24 03:05:06.089,KZG_2024-12-16
2025-03-10 00:00:00,KZG,KZG.L,3.95,2.71,12266739,3104052,4523813,5,0,1.0,0.0,2025-06-24 03:05:06.134,KZG_2025-03-10
2025-03-21 00:00:00,BLND,BLND.L,7.42,6.41,24664481,3325048,3845659,29,1,0.96666664,0.0,2025-06-24 03:05:06.675,BLND_2025-03-21
2024-09-30 00:00:00,BLND,BLND.L,5.69,5.83,24622513,4323904,4226709,31,1,0.96875,0.0,2025-06-24 03:05:06.723,BLND_2024-09-30
2024-10-28 00:00:00,BLND,BLND.L,5.4,5.22,24302941,4498480,4652526,31,1,0.96875,0.0,2025-06-24 03:05:06.771,BLND_2024-10-28
2025-04-22 00:00:00,BLND,BLND.L,5.16,6.54,28517616,5527953,4363794,27,1,0.96428573,0.0,2025-06-24 03:05:06.818,BLND_2025-04-22
2024-09-19 00:00:00,BLND,BLND.L,4.71,4.21,17052555,3620544,4047146,31,1,0.96875,0.0,2025-06-24 03:05:06.865,BLND_2024-09-19
2024-11-05 00:00:00,BLND,BLND.L,4.07,4.0,20656020,5078892,5166072,31,1,0.96875,0.0,2025-06-24 03:05:06.909,BLND_2024-11-05
2025-03-19 00:00:00,BLND,BLND.L,4.07,3.02,11614137,2852658,3841390,28,1,0.9655172,0.0,2025-06-24 03:05:06.954,BLND_2025-03-19
2024-08-14 00:00:00,BLND,BLND.L,3.99,3.57,14393762,3603670,4034398,32,1,0.969697,0.0,2025-06-24 03:05:06.997,BLND_2024-08-14
2025-01-28 00:00:00,SSPG,SSPG.L,5.94,4.0,5968584,1004683,1490945,9,0,1.0,0.0,2025-06-24 03:05:08.057,SSPG_2025-01-28
2025-03-03 00:00:00,SSPG,SSPG.L,3.57,2.92,3569981,998812,1224047,9,0,1.0,0.0,2025-06-24 03:05:08.157,SSPG_2025-03-03
2025-02-28 00:00:00,SSPG,SSPG.L,3.07,2.33,2781438,907413,1196244,9,0,1.0,0.0,2025-06-24 03:05:08.289,SSPG_2025-02-28
2024-10-17 00:00:00,SSPG,SSPG.L,2.99,2.44,3541401,1185599,1448448,7,1,0.875,0.0,2025-06-24 03:05:08.377,SSPG_2024-10-17
2025-01-09 00:00:00,SSPG,SSPG.L,2.99,2.17,3232839,1080719,1492499,9,0,1.0,0.0,2025-06-24 03:05:08.422,SSPG_2025-01-09
2024-11-25 00:00:00,SSPG,SSPG.L,2.88,3.65,5280822,1835214,1446114,8,1,0.8888889,0.0,2025-06-24 03:05:08.478,SSPG_2024-11-25
2024-11-21 00:00:00,SSPG,SSPG.L,2.77,3.23,4523744,1630241,1402591,8,1,0.8888889,0.0,2025-06-24 03:05:08.576,SSPG_2024-11-21
2024-11-08 00:00:00,SSPG,SSPG.L,2.76,2.55,3485588,1262795,1369252,8,1,0.8888889,0.0,2025-06-24 03:05:08.622,SSPG_2024-11-08
2024-07-11 00:00:00,MSLH,MSLH.L,3.43,3.77,2333510,681116,619025,12,2,0.85714287,0.0,2025-06-23 23:40:18.492,MSLH_2024-07-11
2024-07-05 00:00:00,MSLH,MSLH.L,3.1,2.61,1492720,481323,570884,12,2,0.85714287,0.0,2025-06-23 23:40:18.537,MSLH_2024-07-05
2024-07-10 00:00:00,MSLH,MSLH.L,2.94,2.97,1784748,608075,601867,12,2,0.85714287,0.0,2025-06-23 23:40:18.633,MSLH_2024-07-10
2024-07-09 00:00:00,MSLH,MSLH.L,2.62,2.48,1451894,553780,585401,12,2,0.85714287,0.0,2025-06-23 23:40:18.728,MSLH_2024-07-09
2024-10-29 00:00:00,MSLH,MSLH.L,2.47,2.63,1163392,471668,441987,7,2,0.7777778,0.0,2025-06-23 23:40:18.777,MSLH_2024-10-29
2025-01-10 00:00:00,MSLH,MSLH.L,2.44,2.33,1615748,660898,693314,12,2,0.85714287,0.0,2025-06-23 23:40:18.826,MSLH_2025-01-10
2024-12-11 00:00:00,MSLH,MSLH.L,2.37,2.43,1474605,622402,605722,12,2,0.85714287,0.0,2025-06-23 23:40:18.876,MSLH_2024-12-11
2025-01-14 00:00:00,MSLH,MSLH.L,2.34,2.38,1713007,730857,720806,15,2,0.88235295,0.0,2025-06-23 23:40:18.925,MSLH_2025-01-14
2024-09-19 00:00:00,MSLH,MSLH.L,2.31,1.53,904235,391709,592130,8,2,0.8,0.0,2025-06-23 23:40:18.974,MSLH_2024-09-19
2024-12-02 00:00:00,MSLH,MSLH.L,2.31,2.77,1557436,675079,563011,10,2,0.8333333,0.0,2025-06-23 23:40:19.019,MSLH_2024-12-02
2024-07-15 00:00:00,MSLH,MSLH.L,2.19,2.66,1731019,791852,650298,9,2,0.8181818,0.0,2025-06-23 23:40:19.107,MSLH_2024-07-15
2024-12-20 00:00:00,MSLH,MSLH.L,2.19,2.02,1231298,562754,610002,12,2,0.85714287,0.0,2025-06-23 23:40:19.151,MSLH_2024-12-20
2024-10-30 00:00:00,MSLH,MSLH.L,2.14,2.35,1062017,495942,452095,7,2,0.7777778,0.0,2025-06-23 23:40:19.195,MSLH_2024-10-30
2025-01-07 00:00:00,MSLH,MSLH.L,2.05,1.72,1086246,530415,630218,12,2,0.85714287,0.0,2025-06-23 23:40:19.284,MSLH_2025-01-07
2024-11-21 00:00:00,HWDN,HWDN.L,3.16,3.52,4254424,1345713,1209714,21,1,0.95454544,0.0,2025-06-23 23:40:19.806,HWDN_2024-11-21
2024-11-07 00:00:00,HWDN,HWDN.L,2.98,2.87,3540914,1189686,1235289,18,1,0.94736844,0.0,2025-06-23 23:40:19.853,HWDN_2024-11-07
2025-01-31 00:00:00,HWDN,HWDN.L,2.97,3.56,4387195,1477955,1233224,23,1,0.9583333,0.0,2025-06-23 23:40:19.9,HWDN_2025-01-31
2025-04-29 00:00:00,HWDN,HWDN.L,2.89,2.56,4806906,1661017,1879956,26,0,1.0,0.0,2025-06-23 23:40:19.947,HWDN_2025-04-29
2024-09-18 00:00:00,HWDN,HWDN.L,2.72,1.85,2584404,950626,1396931,17,1,0.9444444,0.0,2025-06-23 23:40:19.994,HWDN_2024-09-18
2025-03-20 00:00:00,HWDN,HWDN.L,2.61,3.49,5644235,2160207,1617652,25,1,0.96153843,0.0,2025-06-23 23:40:20.039,HWDN_2025-03-20
2025-02-28 00:00:00,HWDN,HWDN.L,2.44,3.4,4676126,1914588,1374557,24,1,0.96,0.0,2025-06-23 23:40:20.083,HWDN_2025-02-28
2025-01-14 00:00:00,HWDN,HWDN.L,2.42,1.87,2097129,864825,1122358,22,1,0.95652175,0.0,2025-06-23 23:40:20.127,HWDN_2025-01-14
2024-10-23 00:00:00,HWDN,HWDN.L,2.18,2.03,2531007,1159447,1245368,19,1,0.95,0.0,2025-06-23 23:40:20.172,HWDN_2024-10-23
2025-02-24 00:00:00,HWDN,HWDN.L,2.02,2.6,3264235,1616819,1253967,24,1,0.96,0.0,2025-06-23 23:40:20.216,HWDN_2025-02-24
2025-03-21 00:00:00,WTB,WTB.L,2.71,2.5,2047972,756232,819402,2,0,1.0,0.0,2025-06-24 03:05:05.261,WTB_2025-03-21
2024-07-10 00:00:00,WTB,WTB.L,2.66,2.72,3009488,1130306,1105426,3,0,1.0,0.0,2025-06-24 03:05:05.312,WTB_2024-07-10
2025-01-21 00:00:00,WTB,WTB.L,2.58,2.47,2102556,814777,850046,2,0,1.0,0.0,2025-06-24 03:05:05.363,WTB_2025-01-21
2024-08-02 00:00:00,WTB,WTB.L,2.26,2.18,2313565,1025541,1059768,3,0,1.0,0.0,2025-06-24 03:05:05.414,WTB_2024-08-02
2024-10-31 00:00:00,WTB,WTB.L,2.25,2.14,1601580,712314,747788,2,0,1.0,0.0,2025-06-24 03:05:05.466,WTB_2024-10-31
2024-07-17 00:00:00,WTB,WTB.L,2.17,2.3,2568853,1181579,1115312,3,0,1.0,0.0,2025-06-24 03:05:05.517,WTB_2024-07-17
2024-09-20 00:00:00,WTB,WTB.L,2.16,1.62,1453050,671597,896776,2,0,1.0,0.0,2025-06-24 03:05:05.57,WTB_2024-09-20
2025-03-20 00:00:00,WTB,WTB.L,2.02,1.79,1437395,712867,804666,2,0,1.0,0.0,2025-06-24 03:05:05.619,WTB_2025-03-20
2024-06-28 00:00:00,KZG,KZG.L,3.45,2.43,4178618,1210926,1720513,1,0,1.0,0.0,2025-06-24 03:05:06.178,KZG_2024-06-28
2025-05-06 00:00:00,KZG,KZG.L,3.11,2.36,8442840,2712488,3570348,5,0,1.0,0.0,2025-06-24 03:05:06.223,KZG_2025-05-06
2025-03-26 00:00:00,KZG,KZG.L,2.59,2.36,8582368,3312178,3635164,5,0,1.0,0.0,2025-06-24 03:05:06.266,KZG_2025-03-26
2025-02-24 00:00:00,KZG,KZG.L,2.54,1.66,6996637,2751907,4225658,5,0,1.0,0.0,2025-06-24 03:05:06.311,KZG_2025-02-24
2025-01-17 00:00:00,KZG,KZG.L,2.5,2.61,13697060,5479867,5255258,5,0,1.0,0.0,2025-06-24 03:05:06.354,KZG_2025-01-17
2025-02-27 00:00:00,KZG,KZG.L,2.48,1.72,7501243,3024032,4351156,5,0,1.0,0.0,2025-06-24 03:05:06.402,KZG_2025-02-27
2024-12-27 00:00:00,KZG,KZG.L,2.23,2.33,11837854,5306569,5071327,5,0,1.0,0.0,2025-06-24 03:05:06.453,KZG_2024-12-27
2025-01-30 00:00:00,KZG,KZG.L,2.15,1.65,8835406,4103691,5346012,5,0,1.0,0.0,2025-06-24 03:05:06.504,KZG_2025-01-30
2025-02-13 00:00:00,KZG,KZG.L,2.05,1.51,6287412,3073584,4175610,5,0,1.0,0.0,2025-06-24 03:05:06.554,KZG_2025-02-13
2024-08-12 00:00:00,BLND,BLND.L,3.97,3.14,12114219,3054984,3853526,32,1,0.969697,0.0,2025-06-24 03:05:07.042,BLND_2024-08-12
2025-01-03 00:00:00,BLND,BLND.L,3.92,2.86,13443166,3432404,4699820,31,1,0.96875,0.0,2025-06-24 03:05:07.087,BLND_2025-01-03
2024-08-09 00:00:00,BLND,BLND.L,3.67,2.73,10129463,2760099,3714755,32,1,0.969697,0.0,2025-06-24 03:05:07.133,BLND_2024-08-09
2025-02-07 00:00:00,BLND,BLND.L,3.58,3.63,15299708,4278911,4211625,32,1,0.969697,0.0,2025-06-24 03:05:07.179,BLND_2025-02-07
2024-10-31 00:00:00,BLND,BLND.L,3.42,3.2,15873489,4638836,4952781,31,1,0.96875,0.0,2025-06-24 03:05:07.228,BLND_2024-10-31
2025-05-23 00:00:00,BLND,BLND.L,3.17,2.0,8478311,2674936,4231125,26,1,0.962963,0.0,2025-06-24 03:05:07.274,BLND_2025-05-23
2024-06-25 00:00:00,BLND,BLND.L,2.89,3.5,12776010,4419796,3653154,34,2,0.9444444,0.0,2025-06-24 03:05:07.325,BLND_2024-06-25
2024-09-17 00:00:00,BLND,BLND.L,2.66,2.45,9591730,3601859,3920945,29,1,0.96666664,0.0,2025-06-24 03:05:07.374,BLND_2024-09-17
2025-01-29 00:00:00,BLND,BLND.L,2.59,2.29,10478760,4039069,4584141,32,1,0.969697,0.0,2025-06-24 03:05:07.428,BLND_2025-01-29
2025-04-03 00:00:00,BLND,BLND.L,2.49,2.84,11550367,4646306,4066450,29,1,0.96666664,0.0,2025-06-24 03:05:07.473,BLND_2025-04-03
2024-12-20 00:00:00,BLND,BLND.L,2.35,1.82,9263211,3947084,5101495,33,1,0.9705882,0.0,2025-06-24 03:05:07.519,BLND_2024-12-20
2025-05-27 00:00:00,BLND,BLND.L,2.28,1.56,6786901,2975817,4338642,26,1,0.962963,0.0,2025-06-24 03:05:07.562,BLND_2025-05-27
2024-07-10 00:00:00,BLND,BLND.L,2.27,2.37,8967908,3945531,3785726,30,1,0.9677419,0.0,2025-06-24 03:05:07.607,BLND_2024-07-10
2024-10-07 00:00:00,BLND,BLND.L,2.23,2.68,12208674,5483783,4551236,31,1,0.96875,0.0,2025-06-24 03:05:07.65,BLND_2024-10-07
2025-04-15 00:00:00,BLND,BLND.L,2.21,2.79,12005178,5420153,4296992,29,1,0.96666664,0.0,2025-06-24 03:05:07.696,BLND_2025-04-15
2024-08-19 00:00:00,BLND,BLND.L,2.16,2.18,9299350,4308713,4261957,31,1,0.96875,0.0,2025-06-24 03:05:07.74,BLND_2024-08-19
2024-11-13 00:00:00,BLND,BLND.L,2.15,2.44,12295093,5717489,5045546,31,1,0.96875,0.0,2025-06-24 03:05:07.788,BLND_2024-11-13
2024-08-29 00:00:00,BLND,BLND.L,2.11,2.39,10016189,4753370,4195044,31,1,0.96875,0.0,2025-06-24 03:05:07.835,BLND_2024-08-29
2025-04-11 00:00:00,BLND,BLND.L,2.08,2.54,10733647,5162826,4221983,29,1,0.96666664,0.0,2025-06-24 03:05:07.881,BLND_2025-04-11
2024-12-17 00:00:00,BLND,BLND.L,2.07,1.61,8406411,4052493,5229708,32,1,0.969697,0.0,2025-06-24 03:05:07.925,BLND_2024-12-17
2025-01-31 00:00:00,SSPG,SSPG.L,2.63,2.21,3438832,1308726,1557336,9,0,1.0,0.0,2025-06-24 03:05:08.668,SSPG_2025-01-31
2025-03-04 00:00:00,SSPG,SSPG.L,2.45,1.94,2458638,1005057,1266595,9,0,1.0,0.0,2025-06-24 03:05:08.717,SSPG_2025-03-04
2024-11-13 00:00:00,SSPG,SSPG.L,2.24,2.59,3507496,1567092,1353209,8,1,0.8888889,0.0,2025-06-24 03:05:08.806,SSPG_2024-11-13
2024-12-03 00:00:00,SSPG,SSPG.L,2.24,2.96,4365519,1952701,1474248,8,1,0.8888889,0.0,2025-06-24 03:05:08.85,SSPG_2024-12-03
2024-11-11 00:00:00,SSPG,SSPG.L,2.22,2.14,3026155,1363909,1411379,8,1,0.8888889,0.0,2025-06-24 03:05:08.895,SSPG_2024-11-11
